Ob,city,manner_of_death,armed,age,gender,race,state,signs_of_mental_illness,threat_level,flee,body_camera,NumberOfSubjects,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,Numbershots,Numberofofficers,OfficerRace,OfficerGender
2483,Chicago,shot,gun,24,M,B,IL,FALSE,other,NA,TRUE,1,Y,B,M,24,15,4,L;L;B;I,M;M;M;M
2484,Chicago,shot,gun,24,M,B,IL,FALSE,other,NA,TRUE,1,N,B,M,19,3,1,W,M
2485,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,U,U,3,4,W,M
2486,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,Y,B,U,U,18,1,W;W,M;M
2487,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,L,M,20-29,3,1,L,M
2488,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,W,M,55,4,4,W;L;W;W,M;M;M;M
2489,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,U,U,3,1,W,M
2490,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,17,1,1,B,M
2491,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,0-19,3,1,W,M
2492,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,U,U,5,1,A,M
2493,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,0-19,2,1,L,M
2494,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,Y,B,M,20,1,1,W,M
2495,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,Y,L,U,U,2,2,L;L,M;M
2496,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,Y,B,M,22,1,1,L,M
2497,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,N,B,M,18,1,2,L;W,M;M
2498,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,N,L,U,U,1,1,A,M
2499,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,21,12,1,W,M
2500,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,50,8,4,B;B;B;B,M;M;M;M
2501,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,30-39,3,1,B,M
2502,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,U,U,7,1,B,M
2503,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,N,B,F,20-29,5,3,W;L;W,M;M;M
2504,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,L,M,40-49,1,2,L;W,M;M
2505,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,34,5,2,L;W,F;F
2506,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,W,M,16,3,1,L,M
2507,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,W,F,0-19,6,2,L;B,M;M
2508,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,L,M,20-29,10,1,W,M
2509,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,Y,L,U,U,2,2,W;W,F;M
2510,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,20-29,5,1,W,M
2511,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,20-29,3,1,W,M
2512,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,20-29,1,1,B,M
2513,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,W,M,20-29,4,1,W,M
2514,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,L,M,40-49,3,1,W,M
2515,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,20-29,3,1,A,M
2516,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,15,1,1,W,M
2517,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,W,F,20-29,3,1,W,M
2518,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,Y,B,M,27,22,2,L;A,M;M
2519,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,N,B,U,U,5,1,L,M
2520,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,0-19,2,2,W;L,M;M
2521,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,20-29,3,2,W;W,M;M
2522,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,U,U,3,1,W,M
2523,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,25,1,1,W,M
2524,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,30-39,1,1,W,M
2525,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,0-19,14,1,B,M
2526,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,20-29,3,2,W;W,M;M
2527,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,L,M,20-29,3,2,W;L,M;M
2528,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,30-39,13,1,B,M
2529,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,20-29,3,1,W,M
2530,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,L,M,20-29,3,1,W,F
2531,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,L,U,U,3,1,L,M
2532,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,U,U,3,1,L,M
2533,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,40-49,3,1,B,F
2534,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,L,M,30-39,3,1,W,M
2535,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,0-19,3,1,W,F
2536,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,30-39,3,2,L;B,M;M
2537,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,U,U,3,1,L,M
2538,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,30-39,3,1,L,M
2539,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,20-29,3,1,B,M
2540,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,17,7,1,A,M
2541,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,U,U,3,2,L;L,M;M
2542,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,Y,B,M,30-39,7,1,W,M
2543,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,L,M,0-19,3,1,W,M
2544,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,32,2,2,W;L,M;M
2545,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,20-29,3,1,L,F
2546,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,16,30,3,L;W;L,M;M;M
2547,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,17,16,1,W,M
2548,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,0-19,3,1,W,M
2549,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,Y,B,M,28,1,1,B,M
2550,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,L,M,U,3,1,W,M
2551,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,20-29,3,1,W,M
2552,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,40-49,3,3,L;W;W,M;M;M
2553,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,20-29,3,1,W,M
2554,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,40-49,3,1,L,M
2555,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,17,29,2,W;W,M;M
2556,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,U,U,10,1,L,M
2557,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,40,2,1,B,M
2558,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,0-19,3,1,W,M
2559,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,20-29,3,1,B,M
2560,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,0-19,3,1,A,M
2561,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,23,2,1,L,F
2562,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,Y,B,M,29,1,2,L;U,M;U
2563,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,L,M,30-39,5,2,L;W,M;M
2564,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,L,M,0-19,3,1,W,M
2565,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,U,B,M,20-29,3,1,B,M
2566,Chicago,shot,baseball bat,19,M,B,IL,TRUE,undetermined,Not fleeing,FALSE,1,N,B,M,19,3,1,W,M
2567,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,U,U,3,1,L,F
2568,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,30-39,3,1,L,M
2569,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,3,1,B,M
2570,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,40-49,3,1,L,M
2571,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,B,U,U,18,1,W;W,M;M
2572,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,20-29,3,1,L,M
2573,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,16,2,W;W,M;M
2574,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,W,M,55,4,4,W;L;W;W,M;M;M;M
2575,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,3,1,W,M
2576,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,B,U,U,4,1,L,M
2577,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,34,9,2,W;A,M;M
2578,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,B,M,20,1,1,W,M
2579,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,N,B,M,18,1,2,L;W,M;M
2580,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,B,U,U,10,2,B;B,M;F
2581,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,N,L,U,U,1,1,A,M
2582,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,30-39,4,1,W,M
2583,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,N,B,M,31,15,1,L,M
2584,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,17,4,B;B;B;B,M;M;M;M
2585,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,U,U,3,1,A,M
2586,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,3,2,L;L,M;M
2587,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,7,1,B,M
2588,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,20-29,3,2,W;B,M;M
2589,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,U,U,U,1,1,A,M
2590,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,34,5,2,L;W,F;F
2591,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,3,3,B;L;B,M;M;M
2592,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,0-19,16,1,L,M
2593,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,21,6,3,W;W;W,M;M;M
2594,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,5,1,W,M
2595,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,1,1,B,M
2596,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,15,1,1,W,M
2597,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,W,F,20-29,3,1,W,M
2598,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,18,1,4,W;B;L;B,M;M;M;M
2599,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,0-19,3,1,W,M
2600,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,B,M,20-29,22,2,B;B,F;M
2601,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,18,11,1,B,M
2602,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,17,7,2,W;W,M;M
2603,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,3,1,W,M
2604,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,U,U,34,2,L;W,M;F
2605,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,0-19,3,1,W,M
2606,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,F,20-29,14,2,W;L,M;M
2607,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,30-39,3,1,L,M
2608,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,20-29,3,1,A,M
2609,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,30-39,13,1,B,M
2610,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,3,1,L,M
2611,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,B,U,U,34,3,W;L;L,M;M;M
2612,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,0-19,3,1,W,M
2613,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,0-19,3,1,B,M
2614,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,20-29,3,1,W,M
2615,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,N,L,M,37,2,1,L,M
2616,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,N,B,U,U,5,1,L,M
2617,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,N,B,U,U,8,8,L;W;W;W;L;L;L;L,M;M;M;F;M;M;M;M
2618,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,40-49,3,1,B,F
2619,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,3,1,W,M
2620,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,3,1,B,M
2621,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,2,1,W,M
2622,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,10,1,B,M
2623,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,11,2,B;B,M;M
2624,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,40-49,3,3,W;W;B,M;M;M
2625,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,2,1,W,M
2626,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,50-59,2,1,W,M
2627,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,22,5,1,A,M
2628,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,16,30,3,L;W;L,M;M;M
2629,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,N,L,M,44,5,1,W,F
2630,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,0-19,3,1,W,M
2631,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,0-19,3,1,W,M
2632,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,W,M,30-39,8,1,W,M
2633,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,0-19,3,1,W,M
2634,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,3,1,W,M
2635,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,10,1,L,M
2636,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,N,B,U,U,4,1,B,M
2637,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,40-49,3,3,L;W;W,M;M;M
2638,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,0-19,3,1,W,M
2639,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,U,1,1,B,M
2640,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,9,3,L;W;L,M;M;M
2641,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,30-39,4,1,W,M
2642,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,U,U,U,15,4,W;W;L;L,M;M;M;M
2643,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,3,1,L,M
2644,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,40-49,42,3,L;W;W,M;M;M
2645,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,7,2,L;W,M;M
2646,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,B,U,U,29,5,L;L;L;B;W,M;M;M;M;M
2647,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,B,M,50-59,2,1,L,M
2648,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,30-39,19,2,W;L,M;M
2649,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,40-49,3,2,W;W,F;M
2650,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,3,1,W,M
2651,Chicago,shot,gun,25,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,30-39,5,2,L;W,M;M
2652,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,40-49,3,1,L,M
2653,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,8,1,W,M
2654,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,U,10,2,B;B,M;M
2655,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,0-19,3,1,B,M
2656,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,5,1,A,M
2657,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,B,M,20-29,1,1,W,M
2658,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,B,U,U,4,1,L,M
2659,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,3,4,W,M
2660,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,L,U,U,2,2,L;L,M;M
2661,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,N,B,M,18,1,2,L;W,M;M
2662,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,U,U,U,3,4,NA,U
2663,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,B,M,30-39,19,2,W;W,M;M
2664,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,3,2,B;W,M;M
2665,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,3,1,W,M
2666,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,30-39,3,1,B,M
2667,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,30,1,2,B;B,F;F
2668,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,3,2,W;W,M;M
2669,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,7,1,B,M
2670,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,7,1,B,M
2671,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,U,3,2,L;B,M;M
2672,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,1,1,A,M
2673,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,U,U,U,1,1,A,M
2674,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,19,2,2,B;L,M;M
2675,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,21,6,3,W;W;W,M;M;M
2676,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,L,U,U,2,2,W;W,F;M
2677,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,40-49,1,1,W,M
2678,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,3,1,A,M
2679,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,W,F,20-29,3,1,W,M
2680,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,N,B,U,U,5,1,L,M
2681,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,0-19,3,1,W,M
2682,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,U,U,3,2,W;W,M;M
2683,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,18,11,1,B,M
2684,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,20-29,3,2,W;W,M;M
2685,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,27,31,10,W;W;W;L;W;W;L;W;W;L,M;F;M;M;M;M;M;M;M;M
2686,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,B,M,26,1,1,B,M
2687,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,Y,L,U,U,8,2,L;L,M;F
2688,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,L,M,0-19,3,1,L,M
2689,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,0-19,3,1,W,M
2690,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,0-19,3,1,W,M
2691,Chicago,shot,gun,26,M,B,IL,FALSE,attack,Not fleeing,FALSE,1,U,B,M,30-39,3,1,L,M
